"Module Name","Display Name","Driver Type","Link Date"
"volmgrx","Dynamic Volume Manager","Kernel ",""
"volsnap","Volume Shadow Copy driver","Kernel ",""
"volume","Volume driver","Kernel ",""
"vpci","Microsoft Hyper-V Virtual PCI Bus","Kernel ",""
"vsmraid","vsmraid","Kernel ","4/22/2014 1:21:41 PM"
"VSTXRAID","VIA StorX Storage RAID Controller Windows Driver","Kernel ","1/21/2013 12:00:28 PM"
"vwifibus","Virtual Wireless Bus Driver","Kernel ",""
"vwififlt","Virtual WiFi Filter Driver","Kernel ",""
"vwifimp","Virtual WiFi Miniport Service","Kernel ",""
"WacomPen","Wacom Serial Pen HID Driver","Kernel ",""
"wanarp","Remote Access IP ARP Driver","Kernel ",""
"wanarpv6","Remote Access IPv6 ARP Driver","Kernel ",""
"wcifs","Windows Container Isolation","File System ",""
"wcnfs","Windows Container Name Virtualization","File System ",""
"WdBoot","Windows Defender Antivirus Boot Driver","Kernel ",""
"Wdf01000","Kernel Mode Driver Frameworks service","Kernel ",""
"WdFilter","Windows Defender Antivirus Mini-Filter Driver","File System ",""
"wdiwifi","WDI Driver Framework","Kernel ",""
"WdmCompanionFilter","WdmCompanionFilter","Kernel ",""
"WdNisDrv","Windows Defender Antivirus Network Inspection System Driver","Kernel ",""
"WFPLWFS","Microsoft Windows Filtering Platform","Kernel ",""
"WIMMount","WIMMount","File System ",""
"WindowsTrustedRT","Windows Trusted Execution Environment Class Extension","Kernel ",""
"WindowsTrustedRTProxy","Microsoft Windows Trusted Runtime Secure Service","Kernel ",""
"WinMad","WinMad Service","Kernel ","4/10/2016 7:46:08 AM"
"WinNat","Windows NAT Driver","Kernel ",""
"WINUSB","WinUsb Driver","Kernel ",""
"WinVerbs","WinVerbs Service","Kernel ","4/10/2016 7:46:10 AM"
"WmiAcpi","Microsoft Windows Management Interface for ACPI","Kernel ",""
"Wof","Windows Overlay File System Filter Driver","File System ",""
"WpdUpFltr","WPD Upper Class Filter Driver","Kernel ",""
"ws2ifsl","Winsock IFS Driver","Kernel ",""
"WSDPrintDevice","WSD Print Support","Kernel ",""
"WSDScan","WSD Scan Support","Kernel ",""
"WudfPf","User Mode Driver Frameworks Platform Driver","Kernel ",""
"WUDFRd","Windows Driver Foundation - User-mode Driver Framework Reflector","Kernel ",""
"WUDFWpdFs","WUDFWpdFs","Kernel ",""
"WUDFWpdMtp","WUDFWpdMtp","Kernel ",""
"xboxgip","Xbox Game Input Protocol Driver","Kernel ",""
"xinputhid","XINPUT HID Filter Driver","Kernel ",""
